Var,Unit,Reg,Item,Macro,Year,Val
NUTR,kcal/cap/d,ANZ,CEREALS+,SSP2,2040,23.6
NUTR,kcal/cap/d,ANZ,CEREALS+,SSP2,2050,23.4
NUTR,kcal/cap/d,ANZ,ROOTS+,SSP2,2000,0.3
NUTR,kcal/cap/d,ANZ,ROOTS+,SSP2,2010,0.3
NUTR,kcal/cap/d,ANZ,ROOTS+,SSP2,2020,0.3
NUTR,kcal/cap/d,ANZ,ROOTS+,SSP2,2030,0.3
NUTR,kcal/cap/d,ANZ,ROOTS+,SSP2,2040,0.4
NUTR,kcal/cap/d,ANZ,ROOTS+,SSP2,2050,0.4
NUTR,kcal/cap/d,ANZ,PULSES+,SSP2,2000,7.9
NUTR,kcal/cap/d,ANZ,PULSES+,SSP2,2010,15.7
NUTR,kcal/cap/d,ANZ,PULSES+,SSP2,2020,15.8
NUTR,kcal/cap/d,ANZ,PULSES+,SSP2,2030,15.6
NUTR,kcal/cap/d,ANZ,PULSES+,SSP2,2040,15.6
NUTR,kcal/cap/d,ANZ,PULSES+,SSP2,2050,15.4
NUTR,kcal/cap/d,ANZ,OILSEEDS+,SSP2,2000,10.1
NUTR,kcal/cap/d,ANZ,OILSEEDS+,SSP2,2010,9.7
NUTR,kcal/cap/d,ANZ,OILSEEDS+,SSP2,2020,9.6
NUTR,kcal/cap/d,ANZ,OILSEEDS+,SSP2,2030,9.6
NUTR,kcal/cap/d,ANZ,OILSEEDS+,SSP2,2040,9.6
NUTR,kcal/cap/d,ANZ,OILSEEDS+,SSP2,2050,9.6
NUTR,kcal/cap/d,ANZ,SUGAR+,SSP2,2000,101.6
NUTR,kcal/cap/d,ANZ,SUGAR+,SSP2,2010,102.9
NUTR,kcal/cap/d,ANZ,SUGAR+,SSP2,2020,98.8
NUTR,kcal/cap/d,ANZ,SUGAR+,SSP2,2030,95.8
NUTR,kcal/cap/d,ANZ,SUGAR+,SSP2,2040,92.7
NUTR,kcal/cap/d,ANZ,SUGAR+,SSP2,2050,89.4
NUTR,kcal/cap/d,ANZ,VEGET+,SSP2,2000,69.3
NUTR,kcal/cap/d,ANZ,VEGET+,SSP2,2010,75.1
NUTR,kcal/cap/d,ANZ,VEGET+,SSP2,2020,80.6
NUTR,kcal/cap/d,ANZ,VEGET+,SSP2,2030,84.6
NUTR,kcal/cap/d,ANZ,VEGET+,SSP2,2040,87.9
NUTR,kcal/cap/d,ANZ,VEGET+,SSP2,2050,90.6
NUTR,kcal/cap/d,ANZ,FRUITS+,SSP2,2000,113.8
NUTR,kcal/cap/d,ANZ,FRUITS+,SSP2,2010,119.9
NUTR,kcal/cap/d,ANZ,FRUITS+,SSP2,2020,125.7
NUTR,kcal/cap/d,ANZ,FRUITS+,SSP2,2030,130.1
NUTR,kcal/cap/d,ANZ,FRUITS+,SSP2,2040,133.6
NUTR,kcal/cap/d,ANZ,FRUITS+,SSP2,2050,136.4
NUTR,kcal/cap/d,ANZ,TNUTS+,SSP2,2000,22.7
NUTR,kcal/cap/d,ANZ,TNUTS+,SSP2,2010,26.1
NUTR,kcal/cap/d,ANZ,TNUTS+,SSP2,2020,29.6
NUTR,kcal/cap/d,ANZ,TNUTS+,SSP2,2030,32.2
NUTR,kcal/cap/d,ANZ,TNUTS+,SSP2,2040,34.3
NUTR,kcal/cap/d,ANZ,TNUTS+,SSP2,2050,36.2
NUTR,kcal/cap/d,ANZ,VEGOIL+,SSP2,2000,46.1
NUTR,kcal/cap/d,ANZ,VEGOIL+,SSP2,2010,43.5
NUTR,kcal/cap/d,ANZ,VEGOIL+,SSP2,2020,43.1
NUTR,kcal/cap/d,ANZ,VEGOIL+,SSP2,2030,43.6
NUTR,kcal/cap/d,ANZ,VEGOIL+,SSP2,2040,44
NUTR,kcal/cap/d,ANZ,VEGOIL+,SSP2,2050,44.4
NUTR,kcal/cap/d,ANZ,OTMEAT+,SSP2,2000,10.2
NUTR,kcal/cap/d,ANZ,OTMEAT+,SSP2,2010,10.4
NUTR,kcal/cap/d,ANZ,OTMEAT+,SSP2,2020,10.6
NUTR,kcal/cap/d,ANZ,OTMEAT+,SSP2,2030,10.7
NUTR,kcal/cap/d,ANZ,OTMEAT+,SSP2,2040,10.9
NUTR,kcal/cap/d,ANZ,OTMEAT+,SSP2,2050,11
NUTR,kcal/cap/d,ANZ,ANIMOTH+,SSP2,2000,73.4
NUTR,kcal/cap/d,ANZ,ANIMOTH+,SSP2,2010,72.3
NUTR,kcal/cap/d,ANZ,ANIMOTH+,SSP2,2020,70.7
NUTR,kcal/cap/d,ANZ,ANIMOTH+,SSP2,2030,69.7
NUTR,kcal/cap/d,ANZ,ANIMOTH+,SSP2,2040,68.9
NUTR,kcal/cap/d,ANZ,ANIMOTH+,SSP2,2050,67.9
NUTR,kcal/cap/d,ANZ,AQUAFOOD+,SSP2,2000,30.5
NUTR,kcal/cap/d,ANZ,AQUAFOOD+,SSP2,2010,33.5
NUTR,kcal/cap/d,ANZ,AQUAFOOD+,SSP2,2020,36.5
