,,,,,2000,2010,2020,2030,2040,2050
EU_CentralEast,Cass,SPA0,SSP2,scenRCPref,3,4,4,4,4,4
EU_CentralEast,ChkP,SPA0,SSP2,scenRCPref,3,5,5,5,5,5
EU_CentralEast,Corn,SPA0,SSP2,scenRCPref,14050,16495,16901,17144,17099,16828
EU_CentralEast,Cott,SPA0,SSP2,scenRCPref,1,1,1,1,1,1
EU_CentralEast,Gnut,SPA0,SSP2,scenRCPref,2,2,2,2,2,2
EU_CentralEast,Mill,SPA0,SSP2,scenRCPref,15,24,26,28,27,27
EU_CentralEast,Pota,SPA0,SSP2,scenRCPref,14477,17582,18139,18487,18442,18146
EU_CentralEast,Rape,SPA0,SSP2,scenRCPref,547,606,615,618,617,609
EU_CentralEast,Rice,SPA0,SSP2,scenRCPref,21,23,23,23,23,23
EU_CentralEast,Soya,SPA0,SSP2,scenRCPref,277,172,143,304,307,304
EU_CentralEast,Srgh,SPA0,SSP2,scenRCPref,25,42,45,48,48,47
EU_CentralEast,SugC,SPA0,SSP2,scenRCPref,238,289,299,304,304,299
EU_CentralEast,Sunf,SPA0,SSP2,scenRCPref,940,1041,1056,1062,1060,1046
EU_CentralEast,SwPo,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
EU_CentralEast,Whea,SPA0,SSP2,scenRCPref,9763,11824,12203,12437,12409,12213
EU_MidWest,Barl,SPA0,SSP2,scenRCPref,12085,12021,12582,12852,13122,13226
EU_MidWest,BeaD,SPA0,SSP2,scenRCPref,31,88,251,326,417,452
EU_MidWest,Cass,SPA0,SSP2,scenRCPref,3126,2980,3339,3499,3638,3687
EU_MidWest,ChkP,SPA0,SSP2,scenRCPref,4,11,33,42,54,59
EU_MidWest,Corn,SPA0,SSP2,scenRCPref,6036,6474,7067,7445,7887,8101
EU_MidWest,Mill,SPA0,SSP2,scenRCPref,34,41,46,49,53,54
EU_MidWest,Pota,SPA0,SSP2,scenRCPref,4423,4216,4724,4951,5147,5217
EU_MidWest,Rape,SPA0,SSP2,scenRCPref,3467,3395,3685,3869,4038,4124
EU_MidWest,Rice,SPA0,SSP2,scenRCPref,169,165,171,174,176,176
EU_MidWest,Soya,SPA0,SSP2,scenRCPref,6268,6335,6806,7144,7464,7634
EU_MidWest,Srgh,SPA0,SSP2,scenRCPref,172,209,235,246,266,272
EU_MidWest,SugC,SPA0,SSP2,scenRCPref,1364,1301,1457,1527,1588,1609
EU_MidWest,Sunf,SPA0,SSP2,scenRCPref,1837,1799,1953,2050,2140,2186
EU_MidWest,SwPo,SPA0,SSP2,scenRCPref,7,7,8,8,9,9
EU_MidWest,Whea,SPA0,SSP2,scenRCPref,19955,19995,21262,21964,22688,23015
EU_North,Barl,SPA0,SSP2,scenRCPref,7490,8485,8808,9585,10384,10981
EU_North,BeaD,SPA0,SSP2,scenRCPref,46,100,104,154,204,236
EU_North,Cass,SPA0,SSP2,scenRCPref,8,12,14,15,17,18
EU_North,ChkP,SPA0,SSP2,scenRCPref,10,22,23,35,46,53
EU_North,Corn,SPA0,SSP2,scenRCPref,143,93,109,118,126,137
EU_North,Mill,SPA0,SSP2,scenRCPref,8,12,16,17,19,21
EU_North,Pota,SPA0,SSP2,scenRCPref,1050,1543,1887,2015,2188,2407
EU_North,Rape,SPA0,SSP2,scenRCPref,1547,1846,1969,2214,2468,2663
EU_North,Soya,SPA0,SSP2,scenRCPref,490,486,665,736,817,910
EU_North,Srgh,SPA0,SSP2,scenRCPref,2,4,5,5,6,6
EU_North,SugC,SPA0,SSP2,scenRCPref,1539,2261,2766,2953,3206,3528
EU_North,Sunf,SPA0,SSP2,scenRCPref,751,896,956,1074,1197,1292
EU_North,SwPo,SPA0,SSP2,scenRCPref,5,8,9,10,11,12
EU_North,Whea,SPA0,SSP2,scenRCPref,9462,11443,12455,13566,14781,15856
EU_South,Barl,SPA0,SSP2,scenRCPref,8853,10119,10911,11317,11420,11569
EU_South,BeaD,SPA0,SSP2,scenRCPref,23,93,151,185,189,202
EU_South,Cass,SPA0,SSP2,scenRCPref,1733,2324,2836,3137,3166,3286
EU_South,ChkP,SPA0,SSP2,scenRCPref,10,39,64,78,80,85
EU_South,Corn,SPA0,SSP2,scenRCPref,14495,16985,18427,19092,19326,19560
EU_South,Cott,SPA0,SSP2,scenRCPref,94,118,131,138,140,143
EU_South,Gnut,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
EU_South,Mill,SPA0,SSP2,scenRCPref,20,25,27,28,29,29
EU_South,Pota,SPA0,SSP2,scenRCPref,1060,1421,1735,1919,1936,2010
EU_South,Rape,SPA0,SSP2,scenRCPref,221,275,307,323,328,333
EU_South,Rice,SPA0,SSP2,scenRCPref,108,122,131,136,137,139
EU_South,Soya,SPA0,SSP2,scenRCPref,4287,3648,5528,5730,5801,5873
EU_South,Srgh,SPA0,SSP2,scenRCPref,554,684,735,760,777,791
EU_South,SugC,SPA0,SSP2,scenRCPref,445,597,729,806,814,844
EU_South,Sunf,SPA0,SSP2,scenRCPref,1556,1940,2164,2276,2309,2349
EU_South,SwPo,SPA0,SSP2,scenRCPref,26,34,42,46,47,48
EU_South,Whea,SPA0,SSP2,scenRCPref,4749,6013,6514,6699,6842,6895
Former_USSR,Barl,SPA0,SSP2,scenRCPref,2224,3457,4857,7200,10481,11858
Former_USSR,BeaD,SPA0,SSP2,scenRCPref,141,311,569,1045,1759,2039
Former_USSR,Cass,SPA0,SSP2,scenRCPref,5,9,13,21,32,36
Former_USSR,ChkP,SPA0,SSP2,scenRCPref,1,2,3,6,11,12
Former_USSR,Corn,SPA0,SSP2,scenRCPref,365,526,712,970,1304,1444
Former_USSR,Cott,SPA0,SSP2,scenRCPref,460,1001,1680,2860,4572,5287
Former_USSR,Gnut,SPA0,SSP2,scenRCPref,1,1,2,4,6,7
Former_USSR,Mill,SPA0,SSP2,scenRCPref,41,55,66,76,83,87
Former_USSR,Pota,SPA0,SSP2,scenRCPref,5863,9428,14204,22568,34738,39603
Former_USSR,Rape,SPA0,SSP2,scenRCPref,36,79,133,227,362,419
Former_USSR,Rice,SPA0,SSP2,scenRCPref,41,64,82,99,110,117
Former_USSR,Soya,SPA0,SSP2,scenRCPref,76,99,117,133,143,150
Former_USSR,Srgh,SPA0,SSP2,scenRCPref,16,21,26,30,32,34
Former_USSR,SugC,SPA0,SSP2,scenRCPref,171,275,415,659,1015,1157
Former_USSR,Sunf,SPA0,SSP2,scenRCPref,136,297,498,848,1356,1568
Former_USSR,SwPo,SPA0,SSP2,scenRCPref,0,0,0,1,1,1
Former_USSR,Whea,SPA0,SSP2,scenRCPref,1724,2709,3918,5976,8907,10107
IndiaReg,Barl,SPA0,SSP2,scenRCPref,203,227,274,367,551,865
IndiaReg,BeaD,SPA0,SSP2,scenRCPref,38,44,54,73,106,159
IndiaReg,ChkP,SPA0,SSP2,scenRCPref,121,140,172,232,336,503
IndiaReg,Corn,SPA0,SSP2,scenRCPref,3591,5061,7441,11769,18872,30236
IndiaReg,Cott,SPA0,SSP2,scenRCPref,102,160,247,396,638,1035
IndiaReg,Gnut,SPA0,SSP2,scenRCPref,48,75,116,187,301,488
IndiaReg,Mill,SPA0,SSP2,scenRCPref,504,719,1150,2011,3733,6744
IndiaReg,Pota,SPA0,SSP2,scenRCPref,867,1134,1592,2449,3952,6427
IndiaReg,Rape,SPA0,SSP2,scenRCPref,271,423,654,1049,1689,2740
IndiaReg,Rice,SPA0,SSP2,scenRCPref,4367,5739,8077,12441,20048,32545
IndiaReg,Soya,SPA0,SSP2,scenRCPref,1055,1510,2323,3877,6717,11522
IndiaReg,Srgh,SPA0,SSP2,scenRCPref,376,536,857,1498,2782,5025
IndiaReg,SugC,SPA0,SSP2,scenRCPref,8283,10835,15211,23399,37755,61401
IndiaReg,Sunf,SPA0,SSP2,scenRCPref,31,48,75,120,193,313
IndiaReg,Whea,SPA0,SSP2,scenRCPref,1046,1046,1046,1046,1046,1046
IndonesiaReg,Cass,SPA0,SSP2,scenRCPref,299,303,444,584,691,773
IndonesiaReg,Corn,SPA0,SSP2,scenRCPref,1038,1212,3516,6192,10955,17532
IndonesiaReg,Cott,SPA0,SSP2,scenRCPref,,,,,,
IndonesiaReg,Gnut,SPA0,SSP2,scenRCPref,25,30,139,252,340,407
