Var,Unit,Reg,Item,Macro,Year,Val
PROD,1000 t,OSA,BARL,SSP2,2000,1708.143
OTHU,1000 t,OSA,BARL,SSP2,2000,177.196
CONS,1000 t dm,OSA,BARL,SSP2,2000,1895.446
FEED,1000 t dm,OSA,BARL,SSP2,2000,474.422
FOOD,1000 t dm,OSA,BARL,SSP2,2000,1263.32
PROD,1000 t dm,OSA,BARL,SSP2,2000,1520.247
OTHU,1000 t dm,OSA,BARL,SSP2,2000,157.704
CONS,1000 t,EUR,BARL,SSP2,2000,54458.737
FEED,1000 t,EUR,BARL,SSP2,2000,46023.946
FOOD,1000 t,EUR,BARL,SSP2,2000,4811.03
PROD,1000 t,EUR,BARL,SSP2,2000,61467.346
OTHU,1000 t,EUR,BARL,SSP2,2000,3623.761
CONS,1000 t dm,EUR,BARL,SSP2,2000,48468.276
FEED,1000 t dm,EUR,BARL,SSP2,2000,40961.312
FOOD,1000 t dm,EUR,BARL,SSP2,2000,4281.817
PROD,1000 t dm,EUR,BARL,SSP2,2000,54705.938
OTHU,1000 t dm,EUR,BARL,SSP2,2000,3225.147
CONS,1000 t,MEN,BARL,SSP2,2000,21761.547
FEED,1000 t,MEN,BARL,SSP2,2000,17837.002
FOOD,1000 t,MEN,BARL,SSP2,2000,2008.17
PROD,1000 t,MEN,BARL,SSP2,2000,14717.59
OTHU,1000 t,MEN,BARL,SSP2,2000,1916.375
CONS,1000 t dm,MEN,BARL,SSP2,2000,19367.776
FEED,1000 t dm,MEN,BARL,SSP2,2000,15874.931
FOOD,1000 t dm,MEN,BARL,SSP2,2000,1787.271
PROD,1000 t dm,MEN,BARL,SSP2,2000,13098.655
OTHU,1000 t dm,MEN,BARL,SSP2,2000,1705.574
CONS,1000 t,SSA,BARL,SSP2,2000,1479.453
FEED,1000 t,SSA,BARL,SSP2,2000,29.444
FOOD,1000 t,SSA,BARL,SSP2,2000,1350.304
PROD,1000 t,SSA,BARL,SSP2,2000,1269.167
OTHU,1000 t,SSA,BARL,SSP2,2000,99.705
CONS,1000 t dm,SSA,BARL,SSP2,2000,1316.713
FEED,1000 t dm,SSA,BARL,SSP2,2000,26.205
FOOD,1000 t dm,SSA,BARL,SSP2,2000,1201.77
PROD,1000 t dm,SSA,BARL,SSP2,2000,1129.559
OTHU,1000 t dm,SSA,BARL,SSP2,2000,88.738
CONS,1000 t,SEA,BARL,SSP2,2000,3139.277
FEED,1000 t,SEA,BARL,SSP2,2000,1448.151
FOOD,1000 t,SEA,BARL,SSP2,2000,1507.171
PROD,1000 t,SEA,BARL,SSP2,2000,577.381
OTHU,1000 t,SEA,BARL,SSP2,2000,183.955
CONS,1000 t dm,SEA,BARL,SSP2,2000,2793.957
FEED,1000 t dm,SEA,BARL,SSP2,2000,1288.855
FOOD,1000 t dm,SEA,BARL,SSP2,2000,1341.382
PROD,1000 t dm,SEA,BARL,SSP2,2000,513.869
OTHU,1000 t dm,SEA,BARL,SSP2,2000,163.72
CONS,1000 t,OAS,BARL,SSP2,2000,169.263
FEED,1000 t,OAS,BARL,SSP2,2000,70.509
FOOD,1000 t,OAS,BARL,SSP2,2000,89.007
PROD,1000 t,OAS,BARL,SSP2,2000,163.972
OTHU,1000 t,OAS,BARL,SSP2,2000,9.747
CONS,1000 t dm,OAS,BARL,SSP2,2000,150.644
FEED,1000 t dm,OAS,BARL,SSP2,2000,62.753
FOOD,1000 t dm,OAS,BARL,SSP2,2000,79.216
PROD,1000 t dm,OAS,BARL,SSP2,2000,145.935
OTHU,1000 t dm,OAS,BARL,SSP2,2000,8.675
CONS,1000 t,ANZ,BEAD,SSP2,2000,13.22
FOOD,1000 t,ANZ,BEAD,SSP2,2000,6.676
PROD,1000 t,ANZ,BEAD,SSP2,2000,43.605
OTHU,1000 t,ANZ,BEAD,SSP2,2000,6.544
CONS,1000 t dm,ANZ,BEAD,SSP2,2000,11.898
FOOD,1000 t dm,ANZ,BEAD,SSP2,2000,6.008
PROD,1000 t dm,ANZ,BEAD,SSP2,2000,39.244
OTHU,1000 t dm,ANZ,BEAD,SSP2,2000,5.89
CONS,1000 t,USA,BEAD,SSP2,2000,989.436
FEED,1000 t,USA,BEAD,SSP2,2000,32.669
FOOD,1000 t,USA,BEAD,SSP2,2000,854.439
PROD,1000 t,USA,BEAD,SSP2,2000,1264.738
OTHU,1000 t,USA,BEAD,SSP2,2000,102.328
CONS,1000 t dm,USA,BEAD,SSP2,2000,890.492
FEED,1000 t dm,USA,BEAD,SSP2,2000,29.402
FOOD,1000 t dm,USA,BEAD,SSP2,2000,768.995
PROD,1000 t dm,USA,BEAD,SSP2,2000,1138.265
OTHU,1000 t dm,USA,BEAD,SSP2,2000,92.095
CONS,1000 t,FSU,BEAD,SSP2,2000,274.117
FEED,1000 t,FSU,BEAD,SSP2,2000,251.956
FOOD,1000 t,FSU,BEAD,SSP2,2000,8.718
PROD,1000 t,FSU,BEAD,SSP2,2000,301.724
OTHU,1000 t,FSU,BEAD,SSP2,2000,13.444
CONS,1000 t dm,FSU,BEAD,SSP2,2000,246.706
FEED,1000 t dm,FSU,BEAD,SSP2,2000,226.76
FOOD,1000 t dm,FSU,BEAD,SSP2,2000,7.846
PROD,1000 t dm,FSU,BEAD,SSP2,2000,271.552
OTHU,1000 t dm,FSU,BEAD,SSP2,2000,12.099
CONS,1000 t,BRA,BEAD,SSP2,2000,2982.904
FEED,1000 t,BRA,BEAD,SSP2,2000,160.31
FOOD,1000 t,BRA,BEAD,SSP2,2000,2588.218
PROD,1000 t,BRA,BEAD,SSP2,2000,2716.478
OTHU,1000 t,BRA,BEAD,SSP2,2000,234.376
CONS,1000 t dm,BRA,BEAD,SSP2,2000,2684.614
FEED,1000 t dm,BRA,BEAD,SSP2,2000,144.279
FOOD,1000 t dm,BRA,BEAD,SSP2,2000,2329.396
PROD,1000 t dm,BRA,BEAD,SSP2,2000,2444.83
OTHU,1000 t dm,BRA,BEAD,SSP2,2000,210.938
CONS,1000 t,CAN,BEAD,SSP2,2000,77.124
FEED,1000 t,CAN,BEAD,SSP2,2000,15.718
FOOD,1000 t,CAN,BEAD,SSP2,2000,30.608
